,1
Kitts_Derrick_(R),2
Kitzhaber_John,1
Kitzhaber_John_(D),1
Kitzhaber_John_(DEM),1
Klahr_Jim,1
Klahr_Jim_(D),2
Knapp_Rick,1
Knight_Bruce_Alexander_(L),2
Knopp_Tim,1
Knopp_Tim_(R),1
Koch_Dale_R,1
Kocher_Mike,1
Kocher_Mike_(R),1
Kohl_Thomas_W,2
Komp_Betty,4
Komp_Betty_(D),4
Komp_Betty_(DEM),1
Komp_Betty_E,1
Komp_Betty_E_(D),1
Koopmans_Richard,3
Koopmans_Richard_(D),3
Kopel-Bailey_Jules,1
